municipio_id,municipio_nombre
386266.0,pumahuasi
380406.0,la quiaca
386273.0,yavi
420112.0,doblas
420231.0,macachin
420259.0,miguel riglos
420322.0,rolon
420364.0,tomas manuel anchorena
420189.0,la adela
420028.0,anguil
420336.0,santa rosa
420077.0,catrilo
420378.0,uriburu
420217.0,lonquimay
420098.0,conhelo
420238.0,mauricio mayer
425133.0,rucanelo
420280.0,puelches
420329.0,santa isabel
420049.0,bernardo larroude
420084.0,ceballos
420105.0,coronel hilario lagos
420175.0,intendente alvear
420392.0,vertiz
420011.0,algarrobo del aguila
420196.0,la humada
420014.0,alpachiri
420140.0,general campos
420161.0,guatrache
420343.0,santa teresa
420007.0,abramo
420154.0,general san martin
420182.0,jacinto arauz
425042.0,cuchillo co
425077.0,la reforma
420070.0,carro quemado
425091.0,loventue
420224.0,luan toro
420350.0,telen
420399.0,victorica
420116.0,dorila
425147.0,speluzzi
422007.0,casa de piedra
420287.0,puelen
420385.0,veinticinco de mayo
420091.0,colonia baron
420252.0,miguel cane
420301.0,quemu quemu
425126.0,relmo
420406.0,villa mirasol
420273.0,parera
425112.0,pichi huinca
425007.0,adolfo van praet
420021.0,alta italia
425098.0,maisonnave
420126.0,embajador martini
425063.0,falucho
420168.0,ingeniero luiggi
420315.0,realico
420357.0,toay
420035.0,arata
420245.0,metileo
420371.0,trenel
425028.0,colonia santa maria
420133.0,general acha
420294.0,quehue
425154.0,unanue
460007.0,arauco
460014.0,capital
460021.0,castro barros
460028.0,coronel felipe varela
425049.0,chacharramendi
460035.0,chamical
460042.0,chilecito
460049.0,famatina
460056.0,general angel vicente peñaloza
460077.0,general lamadrid
460084.0,general ocampo
460091.0,general san martin
460098.0,vinchina
460105.0,independencia
460112.0,rosario vera peñaloza
460119.0,san blas de los sauces
460126.0,sanagasta
500021.0,godoy cruz
500028.0,guaymallen
500035.0,junin
500049.0,las heras
500063.0,lujan de cuyo
500056.0,lavalle
500070.0,maipu
500077.0,malargue
500084.0,rivadavia
500091.0,san carlos
500119.0,tunuyan
500126.0,tupungato
540007.0,apostoles
540014.0,azara
540021.0,san jose
540035.0,aristobulo del valle
540063.0,candelaria
540056.0,bonpland
540070.0,cerro cora
540084.0,martires
540091.0,profundidad
540098.0,santa ana
540112.0,garupa
540126.0,concepcion de la sierra
540168.0,santiago de liniers
540182.0,comandante a. guacurary
540189.0,san antonio
540196.0,el soberbio
540203.0,san vicente
540224.0,libertad
540217.0,iguazu
540231.0,colonia wanda
540245.0,arroyo del medio
540252.0,caa yari
540259.0,cerro azul
540266.0,dos arroyos
540273.0,gobernador lopez
540280.0,leandro n. alem
540287.0,olegario v. andrade
540322.0,puerto rico
540301.0,el alcazar
540315.0,leoni
540329.0,ruiz de montoya
540343.0,montecarlo
540350.0,puerto piray
540371.0,colonia alberdi
540392.0,los helechos
540357.0,campo ramon
540364.0,campo viera
540378.0,gral. alvear
540385.0,guarani
540406.0,panambi
540413.0,san martin
540469.0,santo pipo
540427.0,corpus
540434.0,general j. j. urquiza
540441.0,gobernador roca
540448.0,hipolito irigoyen
540455.0,jardin america
540483.0,itacaruare
540497.0,san javier
540504.0,san pedro
540511.0,alba posse
540518.0,colonia aurora
580252.0,villa pehuenia
585014.0,aguada san roque
580021.0,san patricio del chañar
580035.0,piedra del aguila
585035.0,santo tomas
580077.0,senillosa
580091.0,vista alegre
580042.0,centenario
580084.0,villa el chocon
580056.0,neuquen
580070.0,plottier
580105.0,tricao malal
585056.0,villa curi leuvu
580112.0,junin de los andes
580119.0,san martin de los andes
580126.0,loncopue
585070.0,villa traful
580140.0,andacollo
580147.0,huinganco
580154.0,las ovejas
580161.0,los miches
585084.0,manzano amargo
585091.0,varvarco - invernada vieja
580168.0,caviahue-copahue
580175.0,el cholar
580182.0,el huecu
580196.0,barrancas
580203.0,buta ranquil
585112.0,el sauce
580217.0,picun leufu
580231.0,las lajas
585126.0,quili malal
585140.0,los catutos
585147.0,ramon castro
580245.0,zapala
620014.0,viedma
620007.0,guardia mitre
625014.0,san javier
620035.0,coronel belisle
620042.0,darwin
620049.0,lamarque
620056.0,luis beltran
620063.0,pomona
620077.0,san carlos de bariloche
620070.0,el bolson
620084.0,gral. conesa
625077.0,aguada guzman
620091.0,allen
620133.0,cipolletti
620161.0,gral. roca
620140.0,contralmirante cordero
620154.0,gral. fdez. oro
625105.0,peñas blancas
620098.0,campo grande
620112.0,cervantes
620168.0,ingeniero huergo
620119.0,chichinales
620105.0,catriel
620126.0,cinco saltos
625210.0,comico
620189.0,ministro ramos mexia
625259.0,prahuaniyeu
620196.0,sierra colorada
625119.0,rincon de treneta
620224.0,pilcaniyeu
625238.0,mamuel choique
620203.0,ñorquinco
625245.0,ojos de agua
